file,truth
recordings/20260921-115736.wav,play the music
recordings/20260921-115803.wav,Play the music
recordings/20260921-120226.wav,Open Spotify
recordings/20260921-120233.wav,Play the music
recordings/20260921-120249.wav,what's playing
recordings/20260921-120256.wav,next song
recordings/20260921-120305.wav,what's on my calendar
recordings/20260921-120315.wav,what's in my clipboard
recordings/20260921-120325.wav,What files are in my downloads
recordings/20260921-121040.wav,What files are in my downloads
recordings/20260921-121106.wav,Open notes
recordings/20260921-121115.wav,Play the music
recordings/20260921-121324.wav,Open notes
recordings/20260921-121333.wav,Pause
recordings/20260921-121338.wav,What's playing
recordings/20260921-121345.wav,Open Lena Music
recordings/20260921-130355.wav,Fire up Safari
recordings/20260921-130403.wav,Turn the volume up
recordings/20260921-130416.wav,Turn the volume up
recordings/20260921-130424.wav,Open Spotify
recordings/20260921-130816.wav,Turn the volume up
recordings/20260921-130822.wav,Pause
recordings/20260921-130829.wav,Open Spotify
